央视频道,#genre#
CCTV14,http://117.133.95.242:8887/udp/228.1.1.31:8132,1.02
CCTV14,http://221.221.167.14:8888/rtp/239.3.1.65:8132,1.02
CCTV14,http://42.58.245.1:9008/rtp/232.0.0.140:1234,1.01
CCTV14,http://221.221.162.225:8888/rtp/239.3.1.65:8132,1.01
CCTV14,http://123.113.187.204:8000/rtp/239.3.1.65:8132,0.98
CCTV14,http://1.203.77.72:7788/udp/225.1.8.14:8132,0.98
CCTV14,http://175.150.159.235:9009/rtp/232.0.0.140:1234,0.93
CCTV14,http://114.254.83.83:2222/rtp/239.3.1.65:8132,0.93
CCTV14,http://123.112.19.67:8012/rtp/239.3.1.65:8132,0.88
CCTV14,http://123.118.49.201:8686/rtp/239.3.1.65:8132,0.68
CCTV14,http://123.113.237.160:8888/rtp/239.3.1.65:8132,0.39
CCTV14,http://1.203.77.72:7788/udp/225.1.8.114:8236,0.32
CCTV14,http://111.196.191.248:5555/rtp/239.3.1.65:8132,0.31
CCTV14,http://115.171.216.91:4000/udp/225.1.8.114:8236,0.31
CCTV15,http://222.129.139.91:8888/rtp/239.3.1.153:8136,1.04
CCTV15,http://111.196.75.15:8888/rtp/239.3.1.153:8136,1.04
CCTV15,http://123.118.49.201:8686/rtp/239.3.1.153:8136,1.03
CCTV15,http://111.193.236.110:8888/rtp/239.3.1.153:8136,1.03
CCTV15,http://221.221.162.225:8888/rtp/239.3.1.153:8136,1.03
CCTV15,http://42.58.245.1:9008/rtp/232.0.0.179:1234,1.02
CCTV15,http://1.203.77.72:7788/udp/225.1.8.74:8136,1.02
CCTV15,http://117.133.95.242:8887/udp/228.1.1.183:8136,1.02
CCTV15,http://221.221.167.14:8888/rtp/239.3.1.153:8136,1.02
CCTV15,http://221.218.157.61:3527/rtp/239.3.1.153:8136,1.01
CCTV15,http://115.171.216.91:4000/udp/225.1.8.74:8136,0.98
CCTV15,http://175.150.159.235:9009/rtp/232.0.0.179:1234,0.98
CCTV15,http://114.254.83.83:2222/rtp/239.3.1.153:8136,0.87
CCTV15,http://123.112.19.67:8012/rtp/239.3.1.153:8136,0.73
CCTV15,http://1.203.77.72:7788/udp/225.1.8.115:8052,0.33
CCTV15,http://115.171.216.91:4000/udp/225.1.8.115:8052,0.31
CCTV16,http://42.58.245.1:9008/rtp/232.0.0.182:1234,1.02
CCTV16,http://175.150.159.235:9009/rtp/232.0.0.182:1234,1.01
CCTV16,http://111.193.236.110:8888/rtp/239.3.1.184:8001,0.92
CCTV16,http://221.221.162.225:8888/rtp/239.3.1.184:8001,0.92
CCTV16,http://221.218.157.61:3527/rtp/239.3.1.184:8001,0.91
CCTV16,http://123.118.49.201:8686/rtp/239.3.1.184:8001,0.91
CCTV16,http://117.133.95.242:8887/udp/228.1.1.215:8002,0.91
CCTV16,http://221.221.167.14:8888/rtp/239.3.1.184:8001,0.91
CCTV16,http://123.112.19.67:8012/rtp/239.3.1.184:8001,0.9
